Curve	1	2		3		4	
Analyte	CBS	CBS		CBS		CBS	
Ligand	Ch 1	Ch 1		Ch 1		Ch 1	
Conc	0.00E+00		5.00E-05		0.00E+00		0.00E+00
Time1	Data1	Time2	Data2	Time3	Data3	Time4	Data4
104.4	0	104.4	2.7607	104.4	0	104.4	0
104.6	0	104.6	2.5253	104.6	0	104.6	0
104.8	0	104.8	2.3848	104.8	0	104.8	0
105	0	105	2.571	105	0	105	0
105.2	0	105.2	2.3882	105.2	0	105.2	0
105.4	0	105.4	2.6142	105.4	0	105.4	0
105.6	0	105.6	2.6967	105.6	0	105.6	0
105.8	0	105.8	2.6364	105.8	0	105.8	0
106	0	106	2.4871	106	0	106	0
106.2	0	106.2	2.2935	106.2	0	106.2	0
106.4	0	106.4	2.6296	106.4	0	106.4	0
106.6	0	106.6	2.6172	106.6	0	106.6	0
106.8	0	106.8	2.7689	106.8	0	106.8	0
107	0	107	2.6908	107	0	107	0
107.2	0	107.2	2.6908	107.2	0	107.2	0
107.4	0	107.4	2.535	107.4	0	107.4	0
107.6	0	107.6	2.4593	107.6	0	107.6	0
107.8	0	107.8	2.6376	107.8	0	107.8	0
108	0	108	2.2026	108	0	108	0
108.2	0	108.2	2.1189	108.2	0	108.2	0
108.4	0	108.4	2.5879	108.4	0	108.4	0
108.6	0	108.6	2.3117	108.6	0	108.6	0
108.8	0	108.8	2.4321	108.8	0	108.8	0
109	0	109	2.5108	109	0	109	0
109.2	0	109.2	2.301	109.2	0	109.2	0
109.4	0	109.4	2.4868	109.4	0	109.4	0
109.6	0	109.6	2.429	109.6	0	109.6	0
109.8	0	109.8	2.2342	109.8	0	109.8	0
110	0	110	2.3034	110	0	110	0
110.2	0	110.2	2.1449	110.2	0	110.2	0
110.4	0	110.4	2.0415	110.4	0	110.4	0
110.6	0	110.6	2.1124	110.6	0	110.6	0
110.8	0	110.8	2.4937	110.8	0	110.8	0
111	0	111	2.3616	111	0	111	0
111.2	0	111.2	2.3661	111.2	0	111.2	0
111.4	0	111.4	2.0605	111.4	0	111.4	0
111.6	0	111.6	2.1857	111.6	0	111.6	0
111.8	0	111.8	2.3389	111.8	0	111.8	0
112	0	112	2.3389	112	0	112	0
112.2	0	112.2	2.4078	112.2	0	112.2	0
112.4	0	112.4	2.0635	112.4	0	112.4	0
112.6	0	112.6	2.4101	112.6	0	112.6	0
112.8	0	112.8	2.7457	112.8	0	112.8	0
113	0	113	2.4032	113	0	113	0
113.2	0	113.2	3.054	113.2	0	113.2	0
113.4	0	113.4	2.8654	113.4	0	113.4	0
113.6	0	113.6	2.5245	113.6	0	113.6	0
113.8	0	113.8	2.2969	113.8	0	113.8	0
114	0	114	2.4154	114	0	114	0
114.2	0	114.2	2.1758	114.2	0	114.2	0
114.4	0	114.4	2.3126	114.4	0	114.4	0
114.6	0	114.6	1.9322	114.6	0	114.6	0
114.8	0	114.8	2.2049	114.8	0	114.8	0
115	0	115	2.2727	115	0	115	0
115.2	0	115.2	2.3637	115.2	0	115.2	0
115.4	0	115.4	2.1816	115.4	0	115.4	0
115.6	0	115.6	1.9003	115.6	0	115.6	0
115.8	0	115.8	2.2513	115.8	0	115.8	0
116	0	116	2.2066	116	0	116	0
116.2	0	116.2	1.9417	116.2	0	116.2	0
116.4	0	116.4	1.8604	116.4	0	116.4	0
116.6	0	116.6	1.7333	116.6	0	116.6	0
116.8	0	116.8	1.909	116.8	0	116.8	0
117	0	117	1.6754	117	0	117	0
117.2	0	117.2	2.253	117.2	0	117.2	0
117.4	0	117.4	1.626	117.4	0	117.4	0
117.6	0	117.6	2.101	117.6	0	117.6	0
117.8	0	117.8	2.088	117.8	0	117.8	0
118	0	118	2.3914	118	0	118	0
118.2	0	118.2	2.0296	118.2	0	118.2	0
118.4	0	118.4	2.2801	118.4	0	118.4	0
118.6	0	118.6	1.8191	118.6	0	118.6	0
118.8	0	118.8	2.2113	118.8	0	118.8	0
119	0	119	1.5682	119	0	119	0
119.2	0	119.2	1.9113	119.2	0	119.2	0
119.4	0	119.4	1.4736	119.4	0	119.4	0
119.6	0	119.6	1.8095	119.6	0	119.6	0
119.8	0	119.8	2.0442	119.8	0	119.8	0
120	0	120	2.2263	120	0	120	0
120.2	0	120.2	2.2263	120.2	0	120.2	0
120.4	0	120.4	1.9574	120.4	0	120.4	0
120.6	0	120.6	1.9942	120.6	0	120.6	0
120.8	0	120.8	2.0009	120.8	0	120.8	0
121	0	121	2.0744	121	0	121	0
121.2	0	121.2	2.2171	121.2	0	121.2	0
121.4	0	121.4	1.7715	121.4	0	121.4	0
121.6	0	121.6	1.7504	121.6	0	121.6	0
121.8	0	121.8	1.449	121.8	0	121.8	0
122	0	122	1.228	122	0	122	0
122.2	0	122.2	1.3471	122.2	0	122.2	0
122.4	0	122.4	1.6412	122.4	0	122.4	0
122.6	0	122.6	1.7953	122.6	0	122.6	0
122.8	0	122.8	1.698	122.8	0	122.8	0
123	0	123	1.4041	123	0	123	0
123.2	0	123.2	1.2325	123.2	0	123.2	0
123.4	0	123.4	1.5478	123.4	0	123.4	0
123.6	0	123.6	1.4506	123.6	0	123.6	0
123.8	0	123.8	1.3604	123.8	0	123.8	0
124	0	124	1.4113	124	0	124	0
124.2	0	124.2	1.2092	124.2	0	124.2	0
124.4	0	124.4	1.2858	124.4	0	124.4	0
124.6	0	124.6	1.0286	124.6	0	124.6	0
124.8	0	124.8	1.4802	124.8	0	124.8	0
125	0	125	1.4758	125	0	125	0
125.2	0	125.2	1.3536	125.2	0	125.2	0
125.4	0	125.4	1.5438	125.4	0	125.4	0
125.6	0	125.6	1.4538	125.6	0	125.6	0
125.8	0	125.8	1.2848	125.8	0	125.8	0
126	0	126	1.5234	126	0	126	0
126.2	0	126.2	1.5385	126.2	0	126.2	0
126.4	0	126.4	1.896	126.4	0	126.4	0
