Curve	1	2		3		4	
Analyte	CBS	CBS		CBS		CBS	
Ligand	Ch 1	Ch 1		Ch 1		Ch 1	
Conc	0.00E+00		5.00E-05		0.00E+00		0.00E+00
Time1	Data1	Time2	Data2	Time3	Data3	Time4	Data4
21.2	0	21.2	11.8015	21.2	0	21.2	0
21.4	0	21.4	11.5945	21.4	0	21.4	0
21.6	0	21.6	11.3836	21.6	0	21.6	0
21.8	0	21.8	11.6807	21.8	0	21.8	0
22	0	22	11.7476	22	0	22	0
22.2	0	22.2	11.4071	22.2	0	22.2	0
22.4	0	22.4	11.7453	22.4	0	22.4	0
22.6	0	22.6	11.7064	22.6	0	22.6	0
22.8	0	22.8	11.4502	22.8	0	22.8	0
23	0	23	11.2192	23	0	23	0
23.2	0	23.2	11.4384	23.2	0	23.2	0
23.4	0	23.4	11.1721	23.4	0	23.4	0
23.6	0	23.6	11.1826	23.6	0	23.6	0
23.8	0	23.8	11.1772	23.8	0	23.8	0
24	0	24	11.4632	24	0	24	0
24.2	0	24.2	10.9908	24.2	0	24.2	0
24.4	0	24.4	11.3811	24.4	0	24.4	0
24.6	0	24.6	11.1722	24.6	0	24.6	0
24.8	0	24.8	11.4045	24.8	0	24.8	0
25	0	25	11.4951	25	0	25	0
25.2	0	25.2	11.3977	25.2	0	25.2	0
25.4	0	25.4	11.2572	25.4	0	25.4	0
25.6	0	25.6	11.2176	25.6	0	25.6	0
25.8	0	25.8	11.7055	25.8	0	25.8	0
26	0	26	11.5263	26	0	26	0
26.2	0	26.2	11.2621	26.2	0	26.2	0
26.4	0	26.4	11.3007	26.4	0	26.4	0
26.6	0	26.6	11.287	26.6	0	26.6	0
26.8	0	26.8	11.8602	26.8	0	26.8	0
27	0	27	11.8024	27	0	27	0
27.2	0	27.2	11.8296	27.2	0	27.2	0
27.4	0	27.4	11.4101	27.4	0	27.4	0
27.6	0	27.6	11.282	27.6	0	27.6	0
27.8	0	27.8	11.4674	27.8	0	27.8	0
28	0	28	11.1079	28	0	28	0
28.2	0	28.2	11.5435	28.2	0	28.2	0
28.4	0	28.4	11.1699	28.4	0	28.4	0
28.6	0	28.6	11.047	28.6	0	28.6	0
28.8	0	28.8	11.3993	28.8	0	28.8	0
29	0	29	11.1754	29	0	29	0
29.2	0	29.2	10.9583	29.2	0	29.2	0
29.4	0	29.4	11.0652	29.4	0	29.4	0
29.6	0	29.6	11.3725	29.6	0	29.6	0
29.8	0	29.8	11.0293	29.8	0	29.8	0
30	0	30	11.6422	30	0	30	0
30.2	0	30.2	11.5718	30.2	0	30.2	0
30.4	0	30.4	11.2091	30.4	0	30.4	0
30.6	0	30.6	11.2421	30.6	0	30.6	0
30.8	0	30.8	11.4228	30.8	0	30.8	0
31	0	31	11.4991	31	0	31	0
31.2	0	31.2	11.3788	31.2	0	31.2	0
31.4	0	31.4	11.6019	31.4	0	31.4	0
31.6	0	31.6	11.431	31.6	0	31.6	0
31.8	0	31.8	11.0741	31.8	0	31.8	0
32	0	32	11.7046	32	0	32	0
32.2	0	32.2	11.3721	32.2	0	32.2	0
32.4	0	32.4	11.22	32.4	0	32.4	0
32.6	0	32.6	11.3448	32.6	0	32.6	0
32.8	0	32.8	11.2655	32.8	0	32.8	0
33	0	33	11.3617	33	0	33	0
33.2	0	33.2	11.3164	33.2	0	33.2	0
33.4	0	33.4	11.3247	33.4	0	33.4	0
33.6	0	33.6	11.4272	33.6	0	33.6	0
33.8	0	33.8	11.2602	33.8	0	33.8	0
34	0	34	11.0801	34	0	34	0
34.2	0	34.2	11.5717	34.2	0	34.2	0
34.4	0	34.4	11.0145	34.4	0	34.4	0
34.6	0	34.6	11.6073	34.6	0	34.6	0
34.8	0	34.8	11.1163	34.8	0	34.8	0
35	0	35	11.5686	35	0	35	0
35.2	0	35.2	11.3556	35.2	0	35.2	0
35.4	0	35.4	11.0361	35.4	0	35.4	0
35.6	0	35.6	10.5306	35.6	0	35.6	0
35.8	0	35.8	10.9132	35.8	0	35.8	0
36	0	36	11.0509	36	0	36	0
36.2	0	36.2	11.2889	36.2	0	36.2	0
36.4	0	36.4	11.4241	36.4	0	36.4	0
36.6	0	36.6	11.0643	36.6	0	36.6	0
36.8	0	36.8	11.2418	36.8	0	36.8	0
37	0	37	11.4615	37	0	37	0
37.2	0	37.2	11.3003	37.2	0	37.2	0
37.4	0	37.4	11.0766	37.4	0	37.4	0
37.6	0	37.6	11.419	37.6	0	37.6	0
37.8	0	37.8	11.271	37.8	0	37.8	0
38	0	38	11.3764	38	0	38	0
38.2	0	38.2	11.3079	38.2	0	38.2	0
38.4	0	38.4	11.077	38.4	0	38.4	0
38.6	0	38.6	11.7096	38.6	0	38.6	0
38.8	0	38.8	11.7263	38.8	0	38.8	0
39	0	39	11.9015	39	0	39	0
39.2	0	39.2	11.3323	39.2	0	39.2	0
39.4	0	39.4	11.3578	39.4	0	39.4	0
39.6	0	39.6	11.557	39.6	0	39.6	0
39.8	0	39.8	11.7037	39.8	0	39.8	0
40	0	40	11.7322	40	0	40	0
40.2	0	40.2	11.8647	40.2	0	40.2	0
40.4	0	40.4	11.7413	40.4	0	40.4	0
40.6	0	40.6	11.8262	40.6	0	40.6	0
40.8	0	40.8	11.5471	40.8	0	40.8	0
41	0	41	11.8011	41	0	41	0
41.2	0	41.2	11.9233	41.2	0	41.2	0
41.4	0	41.4	11.3991	41.4	0	41.4	0
41.6	0	41.6	11.9005	41.6	0	41.6	0
41.8	0	41.8	11.7745	41.8	0	41.8	0
42	0	42	11.6685	42	0	42	0
42.2	0	42.2	11.9262	42.2	0	42.2	0
42.4	0	42.4	11.6022	42.4	0	42.4	0
42.6	0	42.6	12.1316	42.6	0	42.6	0
42.8	0	42.8	11.9685	42.8	0	42.8	0
43	0	43	11.5938	43	0	43	0
43.2	0	43.2	11.4574	43.2	0	43.2	0
43.4	0	43.4	11.8029	43.4	0	43.4	0
43.6	0	43.6	11.823	43.6	0	43.6	0
43.8	0	43.8	11.6273	43.8	0	43.8	0
44	0	44	11.8482	44	0	44	0
44.2	0	44.2	11.776	44.2	0	44.2	0
44.4	0	44.4	11.8826	44.4	0	44.4	0
44.6	0	44.6	11.9137	44.6	0	44.6	0
44.8	0	44.8	12.1735	44.8	0	44.8	0
45	0	45	11.7108	45	0	45	0
45.2	0	45.2	12.0489	45.2	0	45.2	0
45.4	0	45.4	11.803	45.4	0	45.4	0
45.6	0	45.6	11.8306	45.6	0	45.6	0
45.8	0	45.8	11.9176	45.8	0	45.8	0
46	0	46	12.0972	46	0	46	0
46.2	0	46.2	12.0639	46.2	0	46.2	0
46.4	0	46.4	12.2567	46.4	0	46.4	0
46.6	0	46.6	12.2189	46.6	0	46.6	0
46.8	0	46.8	12.1244	46.8	0	46.8	0
47	0	47	11.9974	47	0	47	0
47.2	0	47.2	12.1519	47.2	0	47.2	0
47.4	0	47.4	12.2646	47.4	0	47.4	0
47.6	0	47.6	11.9503	47.6	0	47.6	0
47.8	0	47.8	12.1	47.8	0	47.8	0
48	0	48	11.8744	48	0	48	0
48.2	0	48.2	11.6807	48.2	0	48.2	0
48.4	0	48.4	11.8938	48.4	0	48.4	0
48.6	0	48.6	11.7644	48.6	0	48.6	0
48.8	0	48.8	11.7469	48.8	0	48.8	0
49	0	49	11.6518	49	0	49	0
49.2	0	49.2	11.6358	49.2	0	49.2	0
49.4	0	49.4	11.665	49.4	0	49.4	0
49.6	0	49.6	11.8741	49.6	0	49.6	0
49.8	0	49.8	11.6068	49.8	0	49.8	0
50	0	50	11.9642	50	0	50	0
50.2	0	50.2	11.5268	50.2	0	50.2	0
50.4	0	50.4	11.986	50.4	0	50.4	0
50.6	0	50.6	11.7864	50.6	0	50.6	0
50.8	0	50.8	11.6293	50.8	0	50.8	0
51	0	51	11.5607	51	0	51	0
51.2	0	51.2	11.8042	51.2	0	51.2	0
51.4	0	51.4	11.9283	51.4	0	51.4	0
51.6	0	51.6	12.1292	51.6	0	51.6	0
51.8	0	51.8	12.0281	51.8	0	51.8	0
52	0	52	11.6703	52	0	52	0
52.2	0	52.2	11.7379	52.2	0	52.2	0
52.4	0	52.4	11.6014	52.4	0	52.4	0
52.6	0	52.6	11.6585	52.6	0	52.6	0
52.8	0	52.8	11.8186	52.8	0	52.8	0
53	0	53	11.5796	53	0	53	0
53.2	0	53.2	11.8371	53.2	0	53.2	0
53.4	0	53.4	11.8768	53.4	0	53.4	0
53.6	0	53.6	11.7987	53.6	0	53.6	0
53.8	0	53.8	11.5531	53.8	0	53.8	0
54	0	54	11.5599	54	0	54	0
54.2	0	54.2	11.5089	54.2	0	54.2	0
54.4	0	54.4	11.4158	54.4	0	54.4	0
54.6	0	54.6	11.4622	54.6	0	54.6	0
54.8	0	54.8	11.9277	54.8	0	54.8	0
55	0	55	11.8165	55	0	55	0
55.2	0	55.2	11.9225	55.2	0	55.2	0
55.4	0	55.4	11.7959	55.4	0	55.4	0
55.6	0	55.6	11.503	55.6	0	55.6	0
55.8	0	55.8	11.6171	55.8	0	55.8	0
56	0	56	12.1139	56	0	56	0
56.2	0	56.2	12.0641	56.2	0	56.2	0
56.4	0	56.4	12.2522	56.4	0	56.4	0
56.6	0	56.6	11.6696	56.6	0	56.6	0
56.8	0	56.8	11.9708	56.8	0	56.8	0
57	0	57	11.6831	57	0	57	0
57.2	0	57.2	11.9743	57.2	0	57.2	0
57.4	0	57.4	12.1645	57.4	0	57.4	0
57.6	0	57.6	12.2647	57.6	0	57.6	0
57.8	0	57.8	11.7924	57.8	0	57.8	0
58	0	58	11.4361	58	0	58	0
58.2	0	58.2	11.8717	58.2	0	58.2	0
58.4	0	58.4	11.8181	58.4	0	58.4	0
58.6	0	58.6	12.2569	58.6	0	58.6	0
58.8	0	58.8	11.7695	58.8	0	58.8	0
59	0	59	11.9757	59	0	59	0
59.2	0	59.2	12.0377	59.2	0	59.2	0
59.4	0	59.4	12.1483	59.4	0	59.4	0
59.6	0	59.6	12.0394	59.6	0	59.6	0
59.8	0	59.8	11.6373	59.8	0	59.8	0
60	0	60	11.4969	60	0	60	0
60.2	0	60.2	11.8315	60.2	0	60.2	0
60.4	0	60.4	12.2054	60.4	0	60.4	0
60.6	0	60.6	11.1595	60.6	0	60.6	0
60.8	0	60.8	10.932	60.8	0	60.8	0
61	0	61	10.932	61	0	61	0
61.2	0	61.2	10.9143	61.2	0	61.2	0
61.4	0	61.4	11.0223	61.4	0	61.4	0
61.6	0	61.6	11.4511	61.6	0	61.6	0
61.8	0	61.8	11.6012	61.8	0	61.8	0
62	0	62	11.6158	62	0	62	0
62.2	0	62.2	11.5065	62.2	0	62.2	0
62.4	0	62.4	11.3941	62.4	0	62.4	0
62.6	0	62.6	10.9746	62.6	0	62.6	0
62.8	0	62.8	11.2729	62.8	0	62.8	0
63	0	63	10.6467	63	0	63	0
63.2	0	63.2	10.8945	63.2	0	63.2	0
63.4	0	63.4	10.8689	63.4	0	63.4	0
63.6	0	63.6	10.4689	63.6	0	63.6	0
63.8	0	63.8	10.6432	63.8	0	63.8	0
64	0	64	10.6656	64	0	64	0
64.2	0	64.2	10.366	64.2	0	64.2	0
64.4	0	64.4	10.398	64.4	0	64.4	0
64.6	0	64.6	10.4412	64.6	0	64.6	0
64.8	0	64.8	9.7991	64.8	0	64.8	0
65	0	65	10.0193	65	0	65	0
65.2	0	65.2	10.1151	65.2	0	65.2	0
65.4	0	65.4	9.7022	65.4	0	65.4	0
65.6	0	65.6	9.8851	65.6	0	65.6	0
65.8	0	65.8	9.5665	65.8	0	65.8	0
66	0	66	9.8197	66	0	66	0
66.2	0	66.2	9.7158	66.2	0	66.2	0
66.4	0	66.4	9.8612	66.4	0	66.4	0
66.6	0	66.6	9.4646	66.6	0	66.6	0
66.8	0	66.8	9.3768	66.8	0	66.8	0
67	0	67	9.3545	67	0	67	0
67.2	0	67.2	9.4801	67.2	0	67.2	0
67.4	0	67.4	9.2107	67.4	0	67.4	0
67.6	0	67.6	9.1956	67.6	0	67.6	0
67.8	0	67.8	8.8884	67.8	0	67.8	0
68	0	68	8.8912	68	0	68	0
68.2	0	68.2	8.6117	68.2	0	68.2	0
68.4	0	68.4	9.0555	68.4	0	68.4	0
68.6	0	68.6	9.0852	68.6	0	68.6	0
68.8	0	68.8	8.9014	68.8	0	68.8	0
69	0	69	8.8105	69	0	69	0
69.2	0	69.2	9.1023	69.2	0	69.2	0
69.4	0	69.4	8.6246	69.4	0	69.4	0
69.6	0	69.6	8.6982	69.6	0	69.6	0
69.8	0	69.8	8.7156	69.8	0	69.8	0
70	0	70	8.3426	70	0	70	0
70.2	0	70.2	8.0976	70.2	0	70.2	0
70.4	0	70.4	8.0961	70.4	0	70.4	0
70.6	0	70.6	7.5078	70.6	0	70.6	0
70.8	0	70.8	7.9929	70.8	0	70.8	0
71	0	71	7.8592	71	0	71	0
71.2	0	71.2	7.8023	71.2	0	71.2	0
71.4	0	71.4	7.6312	71.4	0	71.4	0
71.6	0	71.6	7.8802	71.6	0	71.6	0
71.8	0	71.8	7.5397	71.8	0	71.8	0
72	0	72	7.7863	72	0	72	0
72.2	0	72.2	7.2163	72.2	0	72.2	0
72.4	0	72.4	7.2236	72.4	0	72.4	0
72.6	0	72.6	7.22	72.6	0	72.6	0
72.8	0	72.8	7.2356	72.8	0	72.8	0
73	0	73	7.2296	73	0	73	0
73.2	0	73.2	7.0411	73.2	0	73.2	0
73.4	0	73.4	6.8425	73.4	0	73.4	0
73.6	0	73.6	7.1493	73.6	0	73.6	0
73.8	0	73.8	7.1378	73.8	0	73.8	0
74	0	74	7.1087	74	0	74	0
74.2	0	74.2	6.9798	74.2	0	74.2	0
74.4	0	74.4	7.2693	74.4	0	74.4	0
74.6	0	74.6	6.496	74.6	0	74.6	0
74.8	0	74.8	7.0143	74.8	0	74.8	0
75	0	75	6.7045	75	0	75	0
75.2	0	75.2	6.5855	75.2	0	75.2	0
75.4	0	75.4	6.2998	75.4	0	75.4	0
75.6	0	75.6	6.4335	75.6	0	75.6	0
75.8	0	75.8	6.0669	75.8	0	75.8	0
76	0	76	6.459	76	0	76	0
76.2	0	76.2	6.5648	76.2	0	76.2	0
76.4	0	76.4	6.5882	76.4	0	76.4	0
